Pincode,Latitude,Longitude
501509,NA,NA
501301,NA,NA
501301,NA,NA
500088,NA,NA
500043,NA,NA
500043,NA,NA
500087,NA,NA
501401,NA,NA
501401,NA,NA
500078,NA,NA
500101,NA,NA
500101,NA,NA
501505,17.301362,78.60885
501301,NA,NA
501301,NA,NA
501301,NA,NA
501301,NA,NA
501301,NA,NA
500088,NA,NA
500043,NA,NA
500055,NA,NA
813108,86.65224,24.85533
813108,25.8265,85.7876
813207,24.9325,86.6762
813207,24.9658,86.4728
813110,87.0948,24.85533
813110,25.358,86.239
813109,24.207,86.259
813109,24.368,84.358
813109,86.65224,24.15468
813109,24.029,86.297
813107,24.201,86.248
813107,25.267,84.357
813211,25.0598,86.8389
813211,25.0804,86.7303
813211,25.0804,86.7303
813211,25.0804,86.0303
522658,16.2061,79.802
522658,16.2193,79.7533
522614,16.3455,79.7379
522614,16.419,79.7497
522614,16.443,79.6967
522614,16.345,79.637
813222,24.921,84.213
813222,24.6326,84.62356
812005,25.143531,87.020569
812005,25.1536244,86.9342411
812005,25.2496944,86.9869722
812006,25.211,86.988
853204,25.3241,87.0712
853204,25.3808,87.2135
853204,25.3908,87.2195
853204,24.148,85.248
813209,25.2231,87.4361
813209,25.2232,87.4321
853205,25.555,86.369
853205,24.0364,86.0236
344011,25.89007,71.150607
342304,26.405837,73.010046
142049,30.6389875,74.9985706
503207,18.5509461,77.7873264
503207,18.5672599,77.7721273
851210,25.416675,86.129379
851127,25.416675,86.129379
851127,25.416675,86.129379
534239,16.467452,81.509242
534239,16.412996,81.47315
534239,16.424421,81.479646
534237,16.526313,81.396005
534237,16.52828,81.383245
534237,16.546825,81.40798
534247,16.577316,81.645632
534247,16.565716,81.629877
534247,16.579799,81.623096
534202,16.545316,81.513696
534202,16.587004,81.532901
534202,16.515868,81.543873
534243,16.515402,81.595626
534243,16.546978,81.610426
534243,16.538866,81.606932
534199,16.579162,81.430645
848201,25.416675,86.129379
534134,16.7,81.59
502293,NA,NA
502284,17.59,78.12
813212,86.152,24.548
851113,25.416675,86.129379
851111,25.416675,86.129379
851111,25.416675,86.129379
851111,25.416675,86.129379
851111,25.416675,86.129379
851111,25.416675,86.129379
851111,25.416675,86.129379
851111,25.416675,86.129379
851112,25.5000532,86.0402129
851112,25.5329089,85.9981238
851112,25.7379369,85.1510105
503301,18.4539589,77.877045
503301,18.4703804,77.8825672
503301,18.4494355,77.8788242
503206,18.5981949,77.94845
503206,18.5663666,77.9188366
503206,18.5998553,77.9993976
503245,18.7942533,77.9778283
503245,18.76392,78.0553816
503186,18.71002,77.9981733
503201,18.5407388,77.9194592
503201,18.5407388,77.9194592
585447,17.8155,76.7971
585404,17.6258,78.5955
151214,30.790411,74.699154
503187,18.3860155,77.7949242
503187,18.3393718,77.8846467
503187,18.2967347,77.9024795
503101,18.1946528,78.3653902
503101,18.1632809,78.3989966
503306,18.3708516,77.7408783
503123,18.3137197,78.4559903
503123,18.2233893,78.4516614
503114,18.35771,78.1409383
503114,18.3828083,78.066925
503102,18.2746869,78.3558637
503102,18.2515275,78.3603341
503102,18.2171051,78.405877
503145,18.3716726,78.3090759
503112,18.3558646,78.329699
503112,18.3193907,78.3222828
503124,18.2921474,78.1160155
503124,18.2004642,78.1276489
503309,18.5329923,77.618717
503309,18.4655447,77.5947896
503309,18.4787566,77.6578199
503110,18.2632537,78.3335367
503144,18.4168236,78.4215379
503144,18.3648215,78.4482065
503144,18.3832431,78.3376219
503144,18.4128686,78.5354213
503122,18.2231027,78.0036348
503122,18.1345709,77.9926778
503310,18.2316507,77.756802
503110,18.2632537,78.3335367
503110,18.259275,78.2497883
503144,18.4105263,78.3219411
503145,18.441034,78.237848
503122,18.106488,78.0427315
503122,18.1948856,78.0148579
503122,18.1948856,78.0148579
503120,18.3389114,78.2170172
503120,18.266342,78.222613
503235,18.7372407,77.9031943
503321,18.4842409,77.86523
503321,18.4646473,77.8019238
503185,18.6709873,77.7470805
503185,18.6377136,77.8508534
503230,18.647018,78.133392
503230,18.647018,78.133392
503202,18.6937116,78.052145
503246,18.8111298,78.0629922
503246,18.7963568,78.0287932
503246,18.8534023,78.0339875
503305,18.3892066,77.5954683
503305,18.3649883,77.539875
503305,18.31412,77.614685
503207,18.6298832,77.74626
503207,18.6305759,77.7909988
503309,18.427403,77.5728932
503301,18.445695,77.855289
503245,18.7628816,77.9818416
503245,18.8328733,77.9988949
503122,18.2840423,78.0581409
503122,18.1673313,78.0433781
503122,18.1424726,78.0121491
503122,18.1992492,78.0342518
503120,18.3245277,78.2124444
503235,18.819248,77.900276
503235,18.691649,77.968597
507204,16.9638551,80.3254796
507204,17.33169,80.12005
507169,17.02024,80.07173
507169,17.02024,80.07173
507208,17.1246942,80.2084123
507208,17.1246912,80.2084153
507208,17.1246882,80.2084183
507002,17.48585,80.14456
507168,17.3309909,80.4402834
507003,17.1937525,80.1421515
507003,17.2472668,80.1514307
507003,17.29385,80.1433
507003,17.2411882,80.2247176
507158,17.1498471,80.066055
507158,17.142659,80.0631751
507158,17.1648,80.02705
507158,17.1498471,80.066055
507209,17.200012,80.549988
507209,17.200007,80.549993
507209,17.21331,80.59505
507209,17.33339,81.1597
507209,17.21331,80.59505
507122,17.4827,80.30275
507122,17.6006063,81.0892527
507122,17.4827,80.30275
507204,17.044022,80.328968
507204,16.99244,80.329569
507169,17.251025,80.3508901
507169,17.02024,80.07173
507208,17.1246912,80.2084153
851112,25.442095,86.066092
851120,25.416675,86.129379
851120,25.416675,86.129379
851120,25.416675,86.129379
848204,25.416675,86.129379
848204,25.416675,86.129379
848204,25.416675,86.129379
848204,25.416675,86.129379
851204,25.511152,86.476908
851211,25.4821051,86.2975149
851211,25.4149009,86.1348923
851211,25.4196805,86.2748959
851211,25.416675,86.129379
851211,25.416675,86.129379
813212,24.555,85.258
847451,26.2899113,86.8220341
847451,26.2899113,86.8220341
847451,25.2899113,86.8220341
851127,25.416675,86.129379
851127,25.416675,86.129379
851127,25.416675,86.129379
851128,25.416675,86.129379
502114,NA,NA
534238,16.605931,81.621318
534240,16.611914,81.661038
534206,16.540798,81.456737
534210,16.571747,81.534958
472445,24.7931,80.1856
472445,25.8795,78.7026
472445,25.3956,79.2631
851213,25.511152,86.476908
851214,25.511152,86.476908
851214,25.511152,86.476908
851214,25.511152,86.476908
851214,25.511152,86.476908
851201,25.511152,86.476908
851201,25.511152,86.476908
515101,14.27,77.67
515231,14.04,77.81
515271,13.975403,77.104403
515271,13.975404,77.104404
515271,13.975405,77.104405
515271,13.97541,77.10441
515271,13.975411,77.104411
515164,14.0798861,77.6022051
515164,14.0798863,77.6022053
515164,14.0798864,77.6022054
515212,13.828926,77.493284
515303,13.9402898,77.2717067
515303,13.9402896,77.2717066
515556,13.91,78.08
515556,13.89,78.1
515661,14.48,77.8
515672,14.42,77.72
515672,14.42,77.72
515672,14.35,77.44
515672,14.42,77.72
515672,14.42,77.72
515672,14.42,77.72
515521,14.03,78.33
515521,14.12,78.28
515521,14.11,78.21
515521,14.09,78.26
783135,25.431379,89.54179
827016,23.6575,86.1392
515591,14.09,78.17
515591,14.09,78.15
515591,14.08,78.06
515591,14.11,78.16
515641,14.42,77.57
515641,14.44,77.52
515641,14.41,77.58
515641,14.42,77.5
515531,14.1113,77.9219
515541,14.1996,77.801
515541,14.136,78.153
515511,14.348,77.995
515551,13.986,78.185
515154,14.1998,77.8012
515501,14.233,78.094
515631,14.5628,77.857015
515581,14.248,78.25489
515581,14.2444,78.244
515571,13.922649,78.2011499
515571,13.922669,78.2011675
515571,13.9226849,78.2011842
515571,13.9226898,78.2011886
515571,13.9226933,78.2011937
515311,13.805101,77.043901
515311,13.805105,77.043905
515281,14.128105,76.980105
515281,14.128107,76.980107
515241,13.93,77.77
515241,13.97,77.72
515241,13.96,77.68
515101,14.33,77.58
515101,14.31,77.66
515341,13.84,77.69
515231,13.983804,77.772304
515231,13.983805,77.772305
515231,13.983807,77.772307
515271,13.975401,77.104401
515271,13.975408,77.104408
515164,14.0798865,77.6022055
515286,14.0272,76.9933
515212,13.82892,77.493282
515212,13.828921,77.493282
515303,13.828927,77.493286
515556,13.93,78.07
515661,14.5,77.78
515661,14.53,77.72
515661,14.5,77.76
515144,14.22,77.81
515144,14.26,77.77
515144,14.26,77.78
515144,14.24,77.79
515672,14.42,77.72
515672,14.42,77.72
515672,14.42,77.72
515672,14.31,77.5
515672,14.42,77.72
515521,14.08,78.36
515521,14.11,78.25
505498,18.2258121,79.3688857
505498,18.2046655,79.3811345
505129,18.3266963,79.4079001
505470,18.3320233,79.31671
505470,18.2952533,79.3700933
505505,18.4698287,79.2947145
505505,NA,NA
505474,18.2683149,79.2478833
505474,18.2492383,79.2423233
505475,18.36509,79.5383633
505475,18.3766766,79.510565
505502,18.3600431,79.4164577
505502,18.4078892,79.327984
505122,18.318915,18.318915
505122,18.23993,79.4544933
505122,18.291575,79.502995
505153,18.5129774,79.6280337
505153,18.4321499,79.494108
505153,18.4321499,79.494108
505153,18.4321499,79.494108
505162,18.5155432,79.449063
505162,18.551682,79.4037517
505162,18.5059114,79.4693633
505152,18.4240211,79.465738
505152,18.4167802,79.4780313
505152,18.4240831,79.4657463
505514,18.7903133,79.3482029
505514,18.8016659,79.3829603
505187,18.7206416,79.2613533
505187,18.7295283,79.332415
505187,18.68208,79.3764866
505187,18.6776683,79.3561407
505212,18.6321813,79.5287997
505525,18.583883,79.2744048
505525,18.5881247,79.2909966
505525,18.6304449,79.2424449
505525,18.5298975,79.2367372
505209,18.783395,79.4810433
505188,18.6681848,79.478468
505498,18.2649946,79.3666044
505498,18.1868947,79.3443583
505129,18.3716855,79.4580589
505490,18.2639233,79.3362383
505470,18.3055183,79.3628883
505470,18.3444516,79.3565016
505505,18.4292033,79.3017166
505472,18.1751416,79.2307816
505472,18.21825,79.3422316
505474,18.2937383,79.28419
505474,18.3834833,79.3095816
505101,18.1808233,79.4472249
505480,18.1634766,79.3638483
505475,18.3597033,79.56717
505502,18.405397,79.3701406
505502,18.3786941,79.3756903
505186,18.5128424,79.1901559
505122,18.2549883,79.4829016
505122,18.2911383,79.5395499
505122,18.3036783,79.4907183
505122,18.2473405,79.4940527
505498,18.2696579,79.4084966
505129,18.3362746,79.4664689
505129,18.3173492,79.4371499
505490,18.2472516,79.2839316
505470,18.3193816,79.3520633
754031,20.4101233,85.2988016
754031,20.39566,85.3149483
754031,20.3904949,85.3055683
754031,20.4004016,85.4271866
754028,20.600541,85.8875532
754028,20.5812887,85.8917082
754027,20.5135334,85.8448849
754027,20.5077819,85.8036835
754037,20.4330375,85.1603941
754037,20.411133,85.1252419
754037,20.4557547,85.185925
754037,20.4005723,85.1482789
754022,20.658058,85.9198744
754022,20.548296,85.987915
754022,20.6417131,85.953815
754022,20.949337,86.516818
754290,20.564601,86.116651
754290,20.804379,86.476908
505153,18.5129764,79.6280327
505153,18.4371965,79.5516928
505152,18.411943,79.5018977
505187,18.72436,79.3760166
505187,18.68279,79.31823
505212,18.6288557,79.5512558
505212,18.6255235,79.572086
505212,18.630891,79.5736518
505497,18.0843233,79.3851933
505497,18.1436333,79.378035
505102,18.1604166,79.4989466
505102,18.1590649,79.5930633
505471,18.062805,79.34626
505476,18.1404731,79.4478562
505497,18.1063433,79.378496
505498,18.1571596,79.4124038
505102,18.1132866,79.5375766
505102,18.239355,79.5573533
505102,18.2021466,79.5599116
515521,14.02,78.27
515521,14.04,78.4
515591,14.04,78.18
515591,14.12,78.16
515641,14.45,77.54
515641,14.45,77.57
515531,14.12,77.93
515531,14.16,77.93
515133,14.1114,77.9221
515133,14.1866,77.7607
515159,14.19,77.81
515159,14.1995,77.802
515159,14.1998,77.8014
515541,14.1993,77.80141
515651,14.3358,77.719
515651,14.3357,77.7153
515511,14.347,77.994
515511,14.3499,77.995
851204,25.511152,86.476908
851204,25.511152,86.476908
851204,25.511152,86.476908
851204,25.416675,86.129379
851204,25.511152,86.476908
851204,25.511152,86.476908
851213,25.511152,86.476908
851214,25.511152,86.476908
851214,25.511152,86.476908
851214,25.511152,86.476908
851213,25.511152,86.476908
851213,25.511152,86.476908
851213,25.511152,86.476908
851214,25.416675,86.129379
851214,25.511152,86.476908
848201,25.416675,86.129379
505471,18.0273599,79.3513383
505101,18.2073083,79.5069516
505101,18.21277,79.4808233
505476,18.0736757,79.4258131
505476,18.1292892,79.4537076
141114,30.8607,76.1863
505122,18.231065,79.5186166
505102,16.6138273,78.9505003
505102,18.162765,79.5742766
505102,18.1858416,79.59424
515803,15.02,77.06
515775,14.95,77.58
515775,14.96,77.4
515775,14.9,77.43
515405,15.02,77.49
515405,15.07,77.52
515405,14.97,77.24
515865,14.82,76.85
515865,14.84,76.69
515865,15.19,76.78
515455,15.07,77.63
515455,15.05,77.64
515611,15.1,76.85
515867,15.21,76.64
531173,17.9,83.29
531173,17.87,83.26
515871,15.06,76.59
515871,15.06,76.59
515842,14.58,76.44
515842,15.44,76.65
515842,15.67,77.42
515803,15.15,76.95
515775,15.09,77.6
515775,15.08,77.58
515775,15.07,77.57
515775,15,77.4
515405,15.12,77.51
515405,15.1,77.49
515865,14.69,76.81
515865,14.73,76.81
825103,24.058439,84.9371
829143,23.6393,85.3188
824304,25.5689,84.09579
515865,14.7,76.84
505471,18.0390483,79.3158533
505471,18.0283883,79.282015
505471,18.0560983,79.2900116
505101,18.1107964,79.4915092
505101,18.1348272,79.4922907
505476,18.1304742,79.4380566
505476,18.1128029,79.4074475
802204,25.245595,84.390026
802204,25.258143,84.262863
802204,25.257151,84.383432
802158,25.526374,84.319455
505525,18.6183603,79.2850812
505525,18.6304482,79.2424713
754031,20.4439821,85.400933
754031,20.38909,85.395465
754028,20.5976576,85.9179988
754028,20.5672335,85.8121095
754027,20.5036576,85.7672522
754037,20.4528994,85.1488734
754037,20.4051749,85.1902259
754022,20.26663,85.896005
754022,20.5343355,86.0218503
501401,NA,NA
501401,NA,NA
501401,NA,NA
500101,NA,NA
523264,15.765534,79.818455
523264,15.663189,79.948649
523263,15.709129,79.944137
523263,15.649713,79.906714
523263,15.668226,79.939416
524221,14.472835,79.899409
524221,14.921048,79.476716
524221,15.0097,79.500266
524240,14.153986,79.800256
524240,14.700924,79.866784
524152,14.763801,80.036726
524152,14.539829,79.583872
524152,14.788317,80.070256
524222,14.859439,79.367323
524236,14.978575,79.373658
523264,15.772744,79.91997
523264,15.699317,79.793942
523264,15.680023,79.814678
523263,15.65209,79.982057
523263,15.64525,79.921649
523262,15.578951,80.078444
524240,14.738067,79.859783
524223,14.909472,79.86491
524223,14.818652,79.922768
524223,14.621379,79.290566
524223,14.922919,79.916472
524223,14.782867,79.891915
524224,14.90386,79.683887
524224,14.835683,79.674066
524224,14.829185,79.737884
524239,14.818652,79.922768
501503,NA,NA
501503,NA,NA
501503,NA,NA
501121,NA,NA
501121,NA,NA
501202,NA,NA
501202,NA,NA
501202,NA,NA
501202,NA,NA
501202,NA,NA
501202,NA,NA
501111,NA,NA
501111,NA,NA
501111,NA,NA
501142,NA,NA
501142,NA,NA
501501,NA,NA
501501,NA,NA
501501,NA,NA
501501,NA,NA
501203,NA,NA
501203,NA,NA
501203,NA,NA
501203,NA,NA
501203,NA,NA
501203,NA,NA
501203,NA,NA
501141,NA,NA
501141,NA,NA
501141,NA,NA
501141,NA,NA
853205,86.26455,24.75533
813210,24,87.201
813210,24.563,86.302
813212,25.365,86.321
813212,86.21236,24.85533
813212,86.65224,24.85533
813213,84.425,24.147
813110,86.26455,24.7553
813110,86.26455,24.75533
822123,24.19254,84.35026
531084,NA,NA
531114,NA,NA
531022,17.235568,82.404842
531022,17.957777,83.052864
822132,24.32825,83.95193
822132,24.31543,83.98302
444602,20.907,77.6026
531126,NA,NA
531084,NA,NA
516329,14.3923581,78.480938
516293,14.5757882,78.7384084
516293,14.5549145,78.7174455
516293,14.4594227,78.323398
516321,14.43567,78.4445583
531022,17.940412,83.019004
531022,17.9241,83.064326
531149,18.3084283,82.990625
531149,18.2164592,82.904521
531149,18.3155716,82.8686933
531022,17.931746,83.080384
531022,17.931879,83.059001
531022,17.936125,83.039989
531022,17.916571,83.078805
501144,NA,NA
501144,NA,NA
501144,NA,NA
501144,NA,NA
501504,NA,NA
501504,NA,NA
501504,NA,NA
501102,NA,NA
501102,NA,NA
501102,NA,NA
524300,14.4948518,79.3110859
501509,NA,NA
501509,NA,NA
501301,NA,NA
501301,NA,NA
501301,NA,NA
501301,NA,NA
500043,NA,NA
500043,NA,NA
500055,NA,NA
500100,NA,NA
501401,NA,NA
501401,NA,NA
501401,NA,NA
500078,NA,NA
500101,NA,NA
500101,NA,NA
523264,15.72767,79.850264
523264,15.740834,79.912783
523263,15.636979,79.945851
523263,15.680291,79.9171
524142,16.51269,80.112847
524221,14.993672,79.551212
852161,25.511152,86.476908
852161,25.511152,86.476908
852161,25.511152,86.476908
852161,25.511152,86.476908
851201,25.511152,86.476908
851201,25.511152,86.476908
534208,16.485133,81.48831
534204,16.536415,81.492427
534207,16.491681,81.616659
534199,16.613141,81.424699
848201,25.416675,86.1293792
848201,25.416675,86.129379
848201,25.416675,86.129379
851111,25.416675,86.129379
851111,25.416675,86.129379
851111,25.416675,86.129379
851112,25.5107742,85.9993997
851112,25.416675,86.1293792
851112,25.4715795,86.0809938
851118,25.416675,86.129379
851120,25.416675,86.129379
515241,13.98,77.71
515101,14.25,77.58
515101,14.27,77.67
515341,13.84,77.71
515231,13.983806,77.772306
515231,13.983811,77.772311
515271,13.975406,77.104406
515271,13.975407,77.104407
515271,13.975409,77.104409
515212,13.828924,77.493287
515303,13.9402894,77.2717069
515556,13.89,78.03
515661,14.5,77.77
505505,18.4514699,79.282675
505472,18.1862049,79.2842233
505472,18.2107199,79.2387633
505472,18.1642466,79.2375649
505474,18.3659783,79.2753483
505480,18.1577833,79.3170616
505480,18.1619766,79.3392066
505475,NA,NA
505475,NA,NA
505475,18.3766766,79.510565
505502,18.3901578,79.4901955
505502,18.3600431,79.4164577
754031,20.4153466,85.3809799
754031,20.3756716,85.3390416
754031,22.0135599,85.6564583
515865,14.71,76.72
515865,14.78,76.9
515865,15.27,76.85
515865,14.98,76.14
515865,14.71,76.18
515865,15.03,76.12
515455,15.16,77.65
515455,15.06,77.64
515611,15.12,77.23
515867,14.34,77.15
515867,15,76.73
515871,14.97,76.38
515842,15.72,77.37
515842,15.66,77.41
515812,15.5346,77.4712
515803,15.19,77.25
515775,15.08,77.6
515775,15.01,77.44
524240,14.711866,79.886382
524240,14.708396,79.840178
524240,14.688764,79.84403
524240,14.688805,79.902478
524152,14.763801,80.036726
524152,14.461175,79.989704
524222,14.905999,79.369787
524222,14.80076,79.421509
524236,14.998319,79.309185
788152,24.08,92.15
788152,24.08,92.15
788152,24.08,92.15
788152,24.08,92.15
788163,24.56,92.64
788163,24.56,92.64
788163,24.56,92.64
788165,24.4,92.56
788734,24.54879,92.42768
788734,24.54,92.69
788736,24.5,92.43
788152,24.08,92.15
788737,24.75,92.34
788734,24.54879,92.42768
788734,24.54879,92.42768
788736,24.5,92.43
788736,24.5,92.43
788737,24.75,92.34
788737,24.75,92.34
788166,24.201542,92.124523
788166,24.58,92.45
788166,24.201542,92.124523
788735,24.81,92.77
788156,24.64,92.48
788156,24.64,92.48
515661,14.53,77.8
533274,NA,NA
533253,NA,NA
533250,NA,NA
533247,NA,NA
533247,NA,NA
533229,NA,NA
533229,NA,NA
533248,NA,NA
533248,NA,NA
533238,NA,NA
533236,NA,NA
533236,NA,NA
533236,NA,NA
533251,NA,NA
533251,NA,NA
533251,NA,NA
533244,NA,NA
533249,NA,NA
533249,NA,NA
533249,NA,NA
507208,17.1246922,80.2084143
507208,17.1246902,80.2084163
